index,frase_id,total_annotations,identidade,aparencia,papel_social,habilidades,valores,comportamentos,outros,valid_annotations,majority_vote,agreement_rate,frase,tem_padrao,real_class
0,1,2,2,0,0,0,0,0,0,2,identidade,100.0,Carolina é uma menina bem difícil de esquecer.,Female,sim
1,6,5,1,2,0,2,0,0,0,5,aparencia,100.0,"Inteligente, ela é muito sensual.",Female,sim
2,51,3,1,2,0,0,0,0,0,3,aparencia,100.0,"Menina bela, menina bela.",Female,sim
3,798,1,1,0,0,0,0,0,0,1,identidade,50.0,Ele não é feliz.,Male,sim
4,1235,1,0,1,0,0,0,0,0,1,aparencia,50.0,"Ela é linda, mas não tem nome.",Female,sim
5,1277,4,2,1,0,0,1,0,0,4,identidade,100.0,"Ela é guerreira, ela é uma deusa, ela é mulher de verdade.",Female,sim
6,1280,4,2,0,0,1,1,0,0,4,identidade,100.0,Ela é discreta e cultua bons livros.,Female,sim
7,2327,3,1,2,0,0,0,0,0,3,aparencia,100.0,E passou a menina mais linda.,Female,sim
8,2601,2,0,0,1,0,0,1,0,2,comportamentos,50.0,"Com, jeito de menina brincalhona.",Female,sim
9,3024,5,1,2,0,0,1,1,0,5,aparencia,100.0,"Ela é inacreditável, você tinha que ver.",Female,sim
10,3052,3,0,0,0,0,1,2,0,3,comportamentos,100.0,Vai pensando que ela é fácil rapaz.,Female,sim
11,3054,1,0,1,0,0,0,0,0,1,aparencia,50.0,Nem combina com as mulheres vulgares.,Female,sim
12,4344,1,0,0,0,0,1,0,0,1,valores,50.0,Minha pequena deusa africana.,Female,sim
13,4701,6,2,0,1,1,1,1,0,6,identidade,100.0,De mulher mais bandida do mundo.,Female,sim
14,4738,3,1,0,0,0,0,1,1,3,identidade,50.0,Que a menina é braba e você vai.,Female,sim
15,4796,4,2,0,0,0,0,2,0,4,identidade,100.0,Maria é crente e foi orar.,Female,sim
16,5429,2,1,0,0,0,0,0,1,2,outros,50.0,O nome da sua mãe é difícil demais.,Female,sim
17,5432,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"Pra ela também vai ser bom, que vive esquecendo.",Female,sim
18,5780,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"A boa menina ficou braba, hein?",Female,sim
19,6383,1,0,0,0,0,0,0,1,1,outros,50.0,"Gucci, ela é bem moderna.",Female,sim
20,6724,1,1,0,0,0,0,0,0,1,identidade,50.0,Sem enxergar que ela é brilhante.,Female,sim
21,6725,1,0,1,0,0,0,0,0,1,aparencia,50.0,Que ela é rara.,Female,sim
22,6794,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"Eles fica puto, né?",Male,sim
23,7046,2,2,0,0,0,0,0,0,2,identidade,100.0,Se hoje ela é fria eu que esfriei.,Female,sim
24,7235,2,0,0,1,0,0,1,0,2,papel_social,50.0,"Fuma um vape com gosto de ""hoje a mãe arrasa"" (Eh) Aprovеita e me leva pra tua casa (Eh-еh) Me promete prazer (Eh), preciso de amor não.",Female,sim
25,7474,2,2,0,0,0,0,0,0,2,identidade,100.0,Wall ele não é atoa.,Male,sim
26,8110,3,1,0,0,1,0,0,1,3,outros,50.0,"Martins) (É pra tocar, pra tocar, pra tocar no paredão) Ô, que mina simpática.",Female,sim
27,8143,2,0,0,0,0,0,1,1,2,outros,50.0,"Halls na língua, amor) Que mina simpática.",Female,sim
28,8295,1,1,0,0,0,0,0,0,1,identidade,50.0,"Afrodite, ela é a deusa do tesão.",Female,sim
29,8348,3,1,2,0,0,0,0,0,3,aparencia,100.0,"Ela é linda, mas não tem nome na bolsa dela.",Female,sim
30,8460,1,0,0,0,0,0,0,1,1,outros,50.0,"Um garoto tranquilo, não bebe e nem fuma.",Male,sim
31,8466,1,0,0,0,1,0,0,0,1,habilidades,50.0,"(joga, joga, joga, joga) Todas elas são atriz, ela jogando para mim.",Female,sim
32,8552,5,2,0,1,0,0,2,0,5,identidade,100.0,Que a filha é bandida.,Female,sim
33,8772,3,1,0,0,1,0,1,0,3,identidade,50.0,"Eu duvido que outra garota rebola e senta assim, gostosin.",Female,sim
34,8922,1,1,0,0,0,0,0,0,1,identidade,50.0,"Que ela é marrenta demais, eu não tô aguentando.",Female,sim
35,8981,2,2,0,0,0,0,0,0,2,identidade,100.0,"Que ela é diferente, é difícil de ser ver.",Female,sim
36,8988,1,0,0,1,0,0,0,0,1,papel_social,50.0,Sua mãe é empresária.,Female,sim
37,9180,2,0,2,0,0,0,0,0,2,aparencia,100.0,Ela só é gata de filtro.,Female,sim
38,9994,3,1,0,0,0,0,0,2,3,outros,100.0,Se o senhor não tá lembrado.,Male,sim
39,11004,2,0,0,0,0,1,0,1,2,valores,50.0,Mas não tenha pena se ele é matador.,Male,sim
40,11081,6,2,0,0,1,1,2,0,6,identidade,100.0,Eu sei que o senhor é bonzinho.,Male,sim
41,11797,2,1,0,1,0,0,0,0,2,papel_social,50.0,Ela é minha menina.,Female,sim
42,12618,1,1,0,0,0,0,0,0,1,identidade,50.0,Eu sou apenas um rapaz latino-americano.,Male,sim
43,12887,1,0,1,0,0,0,0,0,1,aparencia,50.0,Mas não cantem essa moça bonita.,Female,sim
44,13271,3,1,2,0,0,0,0,0,3,aparencia,100.0,Se eles são bonitos.,Male,sim
45,13275,1,1,0,0,0,0,0,0,1,identidade,50.0,Se eles são famosos.,Male,sim
46,13484,2,1,0,0,0,0,0,1,2,outros,50.0,Mãe gentil.,Female,sim
