frase_id,frase,majority_vote
1,Carolina é uma menina bem difícil de esquecer.,identidade
6,"Inteligente, ela é muito sensual.",aparencia
51,"Menina bela, menina bela.",aparencia
798,Ele não é feliz.,identidade
1235,"Ela é linda, mas não tem nome.",aparencia
1277,"Ela é guerreira, ela é uma deusa, ela é mulher de verdade.",identidade
1280,Ela é discreta e cultua bons livros.,identidade
2327,E passou a menina mais linda.,aparencia
2601,"Com, jeito de menina brincalhona.",comportamentos
3024,"Ela é inacreditável, você tinha que ver.",aparencia
3052,Vai pensando que ela é fácil rapaz.,comportamentos
3054,Nem combina com as mulheres vulgares.,aparencia
4344,Minha pequena deusa africana.,valores
4701,De mulher mais bandida do mundo.,identidade
4738,Que a menina é braba e você vai.,identidade
4796,Maria é crente e foi orar.,identidade
5429,O nome da sua mãe é difícil demais.,outros
5432,"Pra ela também vai ser bom, que vive esquecendo.",comportamentos
5780,"A boa menina ficou braba, hein?",comportamentos
6383,"Gucci, ela é bem moderna.",outros
6724,Sem enxergar que ela é brilhante.,identidade
6725,Que ela é rara.,aparencia
6794,"Eles fica puto, né?",comportamentos
7046,Se hoje ela é fria eu que esfriei.,identidade
7235,"Fuma um vape com gosto de ""hoje a mãe arrasa"" (Eh) Aprovеita e me leva pra tua casa (Eh-еh) Me promete prazer (Eh), preciso de amor não.",papel_social
7474,Wall ele não é atoa.,identidade
8110,"Martins) (É pra tocar, pra tocar, pra tocar no paredão) Ô, que mina simpática.",outros
8143,"Halls na língua, amor) Que mina simpática.",outros
8295,"Afrodite, ela é a deusa do tesão.",identidade
8348,"Ela é linda, mas não tem nome na bolsa dela.",aparencia
8460,"Um garoto tranquilo, não bebe e nem fuma.",outros
8466,"(joga, joga, joga, joga) Todas elas são atriz, ela jogando para mim.",habilidades
8552,Que a filha é bandida.,identidade
8772,"Eu duvido que outra garota rebola e senta assim, gostosin.",identidade
8922,"Que ela é marrenta demais, eu não tô aguentando.",identidade
8981,"Que ela é diferente, é difícil de ser ver.",identidade
8988,Sua mãe é empresária.,papel_social
9180,Ela só é gata de filtro.,aparencia
9994,Se o senhor não tá lembrado.,outros
11004,Mas não tenha pena se ele é matador.,valores
11081,Eu sei que o senhor é bonzinho.,identidade
11797,Ela é minha menina.,papel_social
12618,Eu sou apenas um rapaz latino-americano.,identidade
12887,Mas não cantem essa moça bonita.,aparencia
13271,Se eles são bonitos.,aparencia
13275,Se eles são famosos.,identidade
13484,Mãe gentil.,outros
14358,"E da libido, e pra um garoto introvertido.",comportamentos
