frase_id,frase,majority_annotation
1,Carolina é uma menina bem difícil de esquecer.,sim
6,"Inteligente, ela é muito sensual.",sim
51,"Menina bela, menina bela.",sim
798,Ele não é feliz.,sim
1235,"Ela é linda, mas não tem nome.",sim
1277,"Ela é guerreira, ela é uma deusa, ela é mulher de verdade.",sim
1280,Ela é discreta e cultua bons livros.,sim
2327,E passou a menina mais linda.,sim
2601,"Com, jeito de menina brincalhona.",sim
3024,"Ela é inacreditável, você tinha que ver.",sim
3052,Vai pensando que ela é fácil rapaz.,sim
3054,Nem combina com as mulheres vulgares.,sim
4344,Minha pequena deusa africana.,sim
4701,De mulher mais bandida do mundo.,sim
4738,Que a menina é braba e você vai.,sim
4796,Maria é crente e foi orar.,sim
5429,O nome da sua mãe é difícil demais.,sim
5432,"Pra ela também vai ser bom, que vive esquecendo.",sim
5780,"A boa menina ficou braba, hein?",sim
6383,"Gucci, ela é bem moderna.",sim
6724,Sem enxergar que ela é brilhante.,sim
6725,Que ela é rara.,sim
6794,"Eles fica puto, né?",sim
7046,Se hoje ela é fria eu que esfriei.,sim
7474,Wall ele não é atoa.,sim
8110,"Martins) (É pra tocar, pra tocar, pra tocar no paredão) Ô, que mina simpática.",sim
8143,"Halls na língua, amor) Que mina simpática.",sim
8295,"Afrodite, ela é a deusa do tesão.",sim
8348,"Ela é linda, mas não tem nome na bolsa dela.",sim
8460,"Um garoto tranquilo, não bebe e nem fuma.",sim
8466,"(joga, joga, joga, joga) Todas elas são atriz, ela jogando para mim.",sim
8552,Que a filha é bandida.,sim
8772,"Eu duvido que outra garota rebola e senta assim, gostosin.",sim
8922,"Que ela é marrenta demais, eu não tô aguentando.",sim
8981,"Que ela é diferente, é difícil de ser ver.",sim
8988,Sua mãe é empresária.,sim
9180,Ela só é gata de filtro.,sim
11004,Mas não tenha pena se ele é matador.,sim
11081,Eu sei que o senhor é bonzinho.,sim
11797,Ela é minha menina.,sim
12618,Eu sou apenas um rapaz latino-americano.,sim
12887,Mas não cantem essa moça bonita.,sim
13271,Se eles são bonitos.,sim
13275,Se eles são famosos.,sim
13484,Mãe gentil.,sim
14358,"E da libido, e pra um garoto introvertido.",sim
14430,"Eles são legais, além do mais, Não querem nem saber.",sim
15846,Que mulher ruim.,sim
15936,"Homem é homem, mulher é mulher.",sim
16025,A mina era virgem e ainda era menor.,sim
16321,"Mas ela é linda, Muito mais do que linda, Very, very beautiful!",sim
16332,"Por que ela é linda, Muito mais do que linda, Very, very beautiful!",sim
16405,Aqui nesse mundinho fechado ela é incrível.,sim
16421,Ela é tão tão vistosa que talvez seja mentira.,sim
16705,Jackie uma menina tão bonita que enjoa.,sim
16927,Menina é gostoso demais te amar.,sim
17578,"Ela era princesa eu era o plebeu, Quem é mais foda que eu?",sim
17591,"Em fração de segundos meu castelo caiu, A mais bonita da escola rainha passista, Se transformou numa vaca nazista.",sim
